Date,Open,High,Low,Close,Volume
2020.05.01,09:00,18.71252,18.78177,18.71235,18.77141,3884
2020.05.01,10:00,18.77122,18.88250,18.76795,18.86912,4433
2020.05.01,11:00,18.86867,18.87217,18.75394,18.77081,4644
2020.05.01,12:00,18.77080,18.81375,18.73552,18.77114,4133
2020.05.01,13:00,18.77127,18.79105,18.73045,18.78521,5900
2020.05.01,14:00,18.78549,18.81935,18.73629,18.81671,7721
2020.05.01,15:00,18.81363,18.87400,18.77635,18.85518,6694
2020.05.01,16:00,18.85562,18.87713,18.80275,18.86040,6181
2020.05.01,17:00,18.85990,18.88065,18.81246,18.82962,4241
2020.05.01,18:00,18.82897,18.84974,18.81774,18.83128,5569
2020.05.01,19:00,18.83226,18.87376,18.77407,18.86105,3524
2020.05.01,20:00,18.86102,18.86102,18.81339,18.82065,2990
2020.05.01,21:00,18.82165,18.83824,18.78933,18.80428,1420
2020.05.03,22:05,18.88000,18.88000,18.79061,18.86375,439
2020.05.03,23:05,18.86365,18.89035,18.84897,18.86723,641
2020.05.04,00:00,18.86700,18.91675,18.85085,18.91020,5092
2020.05.04,01:00,18.91054,18.93934,18.89828,18.92839,1144
2020.05.04,02:00,18.92820,18.92842,18.86686,18.87431,759
2020.05.04,03:00,18.87413,18.88249,18.85994,18.87393,852
2020.05.04,04:00,18.87375,18.88652,18.87198,18.88125,3148
2020.05.04,05:00,18.88125,18.88957,18.86722,18.87933,2208
2020.05.04,06:00,18.87855,18.91366,18.87003,18.91135,1575
2020.05.04,07:00,18.91220,18.95769,18.82469,18.82703,3130
2020.05.04,08:00,18.82413,18.90424,18.73539,18.75356,5201
2020.05.04,09:00,18.75355,18.80857,18.70355,18.80297,5212
2020.05.04,10:00,18.80154,18.81809,18.73088,18.73249,3778
2020.05.04,11:00,18.73250,18.75237,18.67186,18.69145,4392
2020.05.04,12:00,18.69165,18.71570,18.63626,18.68432,4470
2020.05.04,13:00,18.68647,18.71316,18.59811,18.67734,8337
2020.05.04,14:00,18.67840,18.72370,18.62020,18.66533,7317
2020.05.04,15:00,18.66560,18.70505,18.65510,18.66948,7348
2020.05.04,16:00,18.66943,18.71848,18.66785,18.71639,5902
2020.05.04,17:00,18.71622,18.71788,18.67384,18.69167,1789
2020.05.04,18:00,18.68980,18.69256,18.63001,18.63212,1729
2020.05.04,19:00,18.63217,18.63243,18.60395,18.61832,2244
2020.05.04,20:00,18.61464,18.62225,18.55425,18.55435,1976
2020.05.04,21:00,18.55455,18.57275,18.55455,18.56855,674
2020.05.04,22:05,18.57850,18.59085,18.55365,18.58095,284
2020.05.04,23:05,18.58065,18.58503,18.48361,18.49585,530
2020.05.05,00:00,18.49625,18.51521,18.45244,18.48009,523
2020.05.05,01:00,18.48024,18.49731,18.47365,18.49459,5277
2020.05.05,02:00,18.49516,18.50037,18.46645,18.47805,2104
2020.05.05,03:00,18.47868,18.48236,18.46666,18.47422,2035
2020.05.05,04:00,18.47404,18.47949,18.46675,18.47455,1766
2020.05.05,05:00,18.47505,18.48495,18.47122,18.47485,1261
2020.05.05,06:00,18.47495,18.47636,18.43337,18.45529,1102
2020.05.05,07:00,18.45422,18.45426,18.36874,18.42205,2782
2020.05.05,08:00,18.42100,18.45165,18.35855,18.40277,6506
2020.05.05,09:00,18.40371,18.41395,18.32235,18.40633,6731
2020.05.05,10:00,18.40624,18.43501,18.33893,18.37139,6062
2020.05.05,11:00,18.37142,18.40254,18.32117,18.36589,6459
2020.05.05,12:00,18.36597,18.39921,18.32098,18.39347,4517
2020.05.05,13:00,18.39347,18.42505,18.34017,18.42248,5027
2020.05.05,14:00,18.42250,18.45010,18.33110,18.35031,6315
2020.05.05,15:00,18.34980,18.43675,18.28715,18.37785,7431
2020.05.05,16:00,18.37690,18.40835,18.36172,18.39204,5587
2020.05.05,17:00,18.39187,18.48496,18.38807,18.48111,3714
2020.05.05,18:00,18.48167,18.53395,18.46536,18.46665,3715
2020.05.05,19:00,18.46645,18.47915,18.40715,18.41438,4163
2020.05.05,20:00,18.41155,18.51985,18.41025,18.49395,2880
2020.05.05,21:00,18.49395,18.51905,18.47975,18.51024,514
2020.05.05,22:05,18.47322,18.50740,18.46075,18.49040,169
2020.05.05,23:05,18.49925,18.50430,18.48346,18.49443,366
2020.05.06,00:00,18.49514,18.50145,18.48233,18.48276,334
2020.05.06,01:00,18.48262,18.52465,18.47708,18.52309,793
2020.05.06,02:00,18.52264,18.55529,18.52102,18.53610,1160
2020.05.06,03:00,18.53610,18.54460,18.52257,18.52550,1792
2020.05.06,04:00,18.52550,18.53790,18.48832,18.49039,2447
2020.05.06,05:00,18.49039,18.49828,18.48755,18.49386,1740
